Original_Review,측면 및 감성 추출,label
"이색 카페 보다가 가봤는데 넘나 좋아써용!!! 커피도 맛있고 색칠하는것도 재밋구 남자친구가 그런걸 아예못해서 걱정했는데 가니까 저보다 잘하더라구용.. 손님들도 커플분들 많이 계셨는데 다들 부담없이 잘 하신고 같아요!! 주변에 소문 다내서 요번주 예약했대요 키키키 담에또갈게용","커피음료(긍정), 분위기감성(긍정)",100000010000
"커피랑 케익도 맛있구 너무 행복한 시간이였어요","커피음료(긍정), 케이크(긍정)",101000000000
"시즌메뉴 넘 맛있었어요!개인적으로는 블랙 글레이즈드 라떼가 더 맛있었어요 서울숲역점 매장은 건물외관과 내관모두 깔끔하고 예뻐요. 또한 직원분들이 방역 수칙을 철저히 지켜주셔서 안심되었습니다","커피음료(긍정), 공간편의시설(긍정), 분위기감성(긍정), 서비스(긍정)",100000111000
"크림라벨 케이크... 빵은 촉촉 생크림은 고소 딸기는 달콤 ! ! !","케이크(긍정)",001000000000
"빵을 화덕에 구워줘서 그런지 더 담백하고 쫀득하니 맛나요... 커피도 맛있네요.","커피음료(긍정), 베이커리빵(긍정)",110000000000
"날씨가 좋아서 야외 테이블에서 여유를 즐겼습니다. 아이스 아메리카노와 소금 버터 롤을 주문해서 맛있게 먹었어요!","커피음료(긍정), 베이커리빵(긍정), 공간편의시설(긍정)",110000100000
"친절하시고 빨리나와서 출근전에 항상 들려요","서비스(긍정)",000000001000
"직원 분도 너무 친절하시고 음료도 너무 맛있어서 다시 방문하려고요","커피음료(긍정), 서비스(긍정)",100000001000
"단호박당근수프, 아란치니, 삼치파스타 꼭 드셔보세요!","대상 모호(없음)",000000000000
"땅콩버터 고소하니 너무맛있고 음료도 바나나푸딩토스트도 맛있어요!!!","커피음료(긍정), 베이커리빵(긍정)",110000000000
"음료랑 브라우니 주문했는데 브라우니 맛있었어요)!","커피음료(긍정), 쿠키구움과자(긍정)",100100000000
"저렴한 가격으로 자주 찾는 곳입니다","가격가성비(긍정)",000000000100
"인테리어 자체가 힙하고... 딸기도 너무나 맛있어요","빙수과일(긍정), 분위기감성(긍정)",000010010000
"너무 맛있어서 항상 클라이밍 오면 꼭 먹어요!","대상 모호(없음)",000000000000
"주문하는 것 부터가 일입니다. 직원분이 계속 안오셔서... 청결해보이지 않아서 별로였습니다.","공간편의시설(부정), 서비스(부정)",000000202000
"생과일 자두가 그대로 올라가있고 망고케이크도... 시그니처 산타라떼도 맛있었습니당","커피음료(긍정), 케이크(긍정), 빙수과일(긍정)",101010000000
"맛난커피와 케잌, 그리고 재민 군의 멋진 얼굴까지 좋은 시간 보내고갑니다.","커피음료(긍정), 케이크(긍정)",101000000000
"분위기 좋아요 매우 친절하심","분위기감성(긍정), 서비스(긍정)",000000011000
"더운 날에 아이스크림 강추 드려요!! 매장 분위기도 잔잔하고 좋아서 아쿠아산타 성수 카페 추천 드려요","기타디저트(긍정), 분위기감성(긍정)",000001010000
"옥수수 라떼 맛있고 빵도 모두 맛있었어요!","커피음료(긍정), 베이커리빵(긍정)",110000000000
"분위기가 좋고 타르드 색감이 예뻐요!","케이크(긍정), 분위기감성(긍정)",001000010000
"맛은 있었지만 줄이 많다면 패스할 집입니다... 비싸다는 느낌","베이커리빵(긍정), 가격가성비(부정), 혼잡도_웨이팅(부정)",010000000202
"빵은 본노엘이 최고... 직원분들 열일하시며 친절하세요","베이커리빵(긍정), 서비스(긍정)",010000001000
"남자들은 알지 못하는 그 무언가 좋다니 됐다","대상 없음",000000000000
"친구가 유명하다고 해서 와봤어요... 솔티드 소금식빵 맛있다고... 매우 친절하세요!","베이커리빵(긍정), 서비스(긍정)",010000001000
"맛있어서 지도보고 찾아왔어요","대상 모호(없음)",000000000000
"공간 디자인 짱 감각 짱 센스 짱","분위기감성(긍정)",000000010000
"커피도 맛있고 공간이 너무 예뻐서 오래 머무르고 싶어요","커피음료(긍정), 분위기감성(긍정)",100000010000
"5만8천원.....커피 하나 마시자고 지불 하기에는 큰 돈일 수 있다... 가격 이상의 가치를 느끼게 해준다","커피음료(긍정), 가격가성비(중립)",100000000300
"오틀리랑 두유 옵션 있어서 좋아요!","커피음료(긍정)",100000000000
"잠봉뵈르랑 깜빠뉴 먹었는데... 무화과 깜빠뉴는 진짜 정말 넘 맛있어요","베이커리빵(긍정)",010000000000
"강아지 가방에 넣어서 들어왔어요 사람이 진짜 많은데... 케이크가 넘 예뻐요,,,","케이크(긍정), 공간편의시설(긍정), 혼잡도_웨이팅(부정)",001000100002
"카페 사진도 잘 나오고 커피도 맛있었습니다!! 진짜 성수 분좋카 인정합니다","커피음료(긍정), 분위기감성(긍정)",100000010000
"케이크 너무 맛있고 크리스마스 느낌 나서 좋았어용!! 분위기도 너무 좋았습니다","케이크(긍정), 분위기감성(긍정)",001000010000
"자극적이지 않고 맛있어요 가을밤게트 샌드위치 또 먹고 싶을만큼 맛있어요","베이커리빵(긍정)",010000000000
"최근 알게된 커피 맛집 그냥 커피에 진심이다... 맛, 가격, 분위기음악도 훨씬 앞서는 곳!","커피음료(긍정), 분위기감성(긍정), 가격가성비(긍정)",100000010100
"너무너무 와보고 싶었던 프롤라 오픈런으로 왔습니다!!... 커피가 진짜 인생커피!!","커피음료(긍정), 혼잡도_웨이팅(긍정)",100000000001
"달지않고 진한 초코맛 우유너무 맛나요.","커피음료(긍정)",100000000000
"접근성이 좋아서 부담 없이 들르기 편했습니다 생블루베리타르트를 먹었는데 크림과 블루베리 조화가 달콤하면서도 과하지 않았습니다 전체적으로 만족스러웠고 다음에 또 이용하고 싶습니다","케이크(긍정), 공간편의시설(긍정)",001000100000
"맛있고 독특해서 좋았어요! 조용해서 술마시기에도 좋았어요 다음에 또 방문하겠습니다","분위기감성(긍정)",000000010000
"사장님이 너무 친절하시고, 디저트랑 음료가 맛있어요","커피음료(긍정), 기타디저트(긍정), 서비스(긍정)",100001001000
"조용히 책읽기 좋은 공간입니다! 계단 이용하기가 조금 불편하지만 아늑하고 조용하고 직원분이 친절해서 좋아요","공간편의시설(부정), 분위기감성(긍정), 서비스(긍정)","000000211000"
"아늑하고 분위기 좋은 브런치카페입니다 서울숲 근처라 좋아요 브런치도 맛있어서 다음에 또 방문하려구요","베이커리빵(긍정), 분위기감성(긍정)","010000010000"
"맛있는 커피, 쇼콜라음료, 케익 등 가족과 함께 맛있게 먹고 갑니다","커피음료(긍정), 케이크(긍정)","101000000000"
"괜히 블루보틀 블루보틀 하는게 아니죠","커피음료(긍정)","100000000000"
"다 맛있지만 특히 아이스크림이 정말 맛잇어용","기타디저트(긍정)","000001000000"
"맛있고 직원분들이 친절해요!","서비스(긍정)","000000001000"
"베이글이 작고 귀여워서 눈으로도 맛으로도 먹게되용","베이커리빵(긍정)","010000000000"
"망고듬뿍 묵직함에 케잌 받을때부터 놀랬는데 맛도 진짜 최고였어요 또 구매 할게요","케이크(긍정)","001000000000"
"분위기좋고 금액이 저렴해요!","분위기감성(긍정), 가격가성비(긍정)","000000010100"
"깨끗하고 상냥하시네요 월요일 오전부터 이래 여러개포장해달래서 죄송했는데 상냥하게 웃어주셔서 편하게 사왓어요 리뉴얼해서 매장도 깨끗하고 포장해주는동안 앉아서 기다리기도 편했네요","공간편의시설(긍정), 서비스(긍정), 선물포장(긍정)","000000101010"
"반려동물 동반 되는 카페!! 발로나 초코칩 치즈케이크 꾸덕하니 적당히 달달해서 맛있고 에이드는 상큼하면서도 매실맛이 나서 어른들도 좋아하실거 같아요! 4층인데도 사람들이 많이 찾아오는 곳 ! 저녁시간에는 펍이라니 다음에 펍도 이용해봐야겠어용!","커피음료(긍정), 케이크(긍정), 공간편의시설(긍정)","101000100000"
"사장님 친절하시구 서비스로 쿠키 주셨는데 너무 맛있었어요!","쿠키구움과자(긍정), 서비스(긍정)","000100001000"
"성수동갈때마다 꼭 들리는 쿠키맛집! 날씨가 좋아서 스콘, 쿠키 포장해서 서울숲에서 먹었는데 덕분에 아주 행복한 산책타임이었어용","쿠키구움과자(긍정), 선물포장(긍정)","000100000010"
"망고빙수 시켰는데 생망고가 들어가서 맛있어요! 잘 익은 망고로 주셨고 빙수 얼음도 망고시럽? 뿌려주셔서 적당히 달고 맛있게 먹었습니다.","빙수과일(긍정)","000010000000"
"메뉴도 다양하고 맛있고 친절해요","서비스(긍정)","000000001000"
"디카페인 커피도 있고 꼬숩고 맛있네요","커피음료(긍정)","100000000000"
"비주얼 합격 맛도 맛있었어요!! 시원하게 너무 좋았습니다!!","분위기감성(긍정)","000000010000"
"자두가 통으로 들어가있어요!! 음료도 케잌도 너무 맛있어요","커피음료(긍정), 케이크(긍정)","101000000000"
"양이 혜자구요 전부다 깔끔하고 좋아요 친절하시고 가성비도 좋아요","공간편의시설(긍정), 서비스(긍정), 가격가성비(긍정)","000000101100"
"단팥빵이랑 소보루빵 생각날때 찾는 파리바게트","베이커리빵(긍정)","010000000000"
"서울숲에 이런곳이!! 인테리어 너무 멋져요. 비스코티, 하이라인라떼 크림찍어서 먹으니 너무 맛있어요. 다른곳에서 만나지못했던 단호박크림소금빵도 독특하네요. 넓고 조용해서 시간보내기 좋았어요. 재방문각!!!","커피음료(긍정), 베이커리빵(긍정), 쿠키구움과자(긍정), 공간편의시설(긍정), 분위기감성(긍정)","110100110000"
"커피맛도 좋고 밖에서 이야기하기 좋아요 추천해요","커피음료(긍정), 분위기감성(긍정)","100000010000"
"빙수집인데 분위기가 좋아요!","빙수과일(긍정), 분위기감성(긍정)","000010010000"
"커피, 디저트 정말 맛있어요. 치즈케이크는 꾸덕한 치즈 풍미 가득하고 레몬타르트는 레몬 많이 갈아넣어 상큼함이 남다르네요.","커피음료(긍정), 케이크(긍정)","101000000000"
"플랫화이트 마셨는데 맛있네요. 로스팅을 직접해서 그런지 커피가 신선한 맛이나요.","커피음료(긍정)","100000000000"
"친구가 너무 귀엽다고 좋아했어요","대상 모호(없음)","000000000000"
"라떼가 맛있는 블루보틀 뚝섬역 바로 앞이라 접근성도 좋아요","커피음료(긍정), 공간편의시설(긍정)","100000100000"
"텅 아메리카노.. 산미있는 맛 커피에서 메주맛 남 저도 알고싶지 않았어요 진짜 이상한 냄새나요 분명 커피 마셨는데 더 갈증남 플래닛 아메리카노 (너티)는 괜찮아요...","커피음료(중립)","300000000000"
"쫀득한 모찌 수제과일모찌 먹고싶어서 방문했는데, 지금날씨에 생딸기모찌가 있는데 상큼한 과일이 입맛없을때 먹기 좋을거 같아요 ) 주문한 과일들 다..퀄리티 너무 좋아서 과즙폭발에 개인적으로 파이네플이랑 딸기 이 두개가 너무 맛있어서 추천드려요!","기타디저트(긍정)","000001000000"
"여기 디저트가 맛있어 보여서 들어왔는데 생각보다 빙수가 비싸서 당황했지만 제철과일쥬스 키위라서 좋았어요 테라스 자리 풀밭뷰도 죠씁니당!","커피음료(긍정), 가격가성비(부정), 분위기감성(긍정)","100000010200"
"맛있는 디저트 때문에 다음에 또 방문하고 싶습니다!","기타디저트(긍정)","000001000000"
"새로 나온 시즌 메뉴 원터라떼 마셔봤는데 적당히 달고 맛있어요. 지하층이지만 층고가 높아 개방감도 있고 아늑해서 대화하기 좋아요","커피음료(긍정), 공간편의시설(긍정), 분위기감성(긍정)","100000110000"
"투썸플레이스의 아메리카노는 정말 특별한 맛을 자랑합니다... 매장 분위기도 아늑하고 편안하여 친구와의 대화나 혼자만의 시간을 즐기기에 적합합니다. 친절한 직원들의 서비스 또한 인상적이라, 언제든지 다시 찾고 싶은 곳입니다.","커피음료(긍정), 분위기감성(긍정), 서비스(긍정)","100000011000"
"날씨가 좋아서 테라스에 앉았는데 분위기도 좋고 음식이 너무 맛있어요! 특히 머쉬룸시저샐러드 소스가 너무너무 맛있어요!!!!!!","공간편의시설(긍정), 분위기감성(긍정)","000000110000"
"땅콩버터가 유명하다 해서 찾아왔는데 넘 친절하시고 맛도 기대돼요! 땅콩100퍼라고 합니다 갓 나온 것 처럼 버터병도 따뜻했어요!!!","서비스(긍정)","000000001000"
"저는 민트초코에 초코가 싫은 사람이라 초코 없는 민트가 너무 만족스럽습니다 여름 빙수로 최고","빙수과일(긍정)","000010000000"
"너무 더워서 힘들었는데 안에 너무 시원하고, 아이스크림, 음료 둘 다 너무 맛있어서 힐링 흑임자 맛집이네요 안에 좌석이 많지 않아서 저희 오고 금방 자리가 찼어요.","커피음료(긍정), 기타디저트(긍정), 공간편의시설(긍정), 혼잡도_웨이팅(부정)","100001100002"
"분위기 너무 좋아서 데이트 장소로도 완전 추천","분위기감성(긍정)","000000010000"
"사장님 엄청 친절하시고 디저트 맛있어요 굳굳 저번에도 왔었는데 진짜 맛있어요!! 성수오면 꼭 가보세용","기타디저트(긍정), 서비스(긍정)","000001001000"
"코끼리베이글 무화과콩포트 너무 사랑해서 맨날 무화과만 먹었는데 오늘 첨으로 생크림베이글 사먹어봤어요. 이것도 너무 맛있네요!","베이커리빵(긍정)","010000000000"
"치즈케이크 맛집이예요!!!... 인테리어 완전 내스탈!!!!!!!! 성수동 힙한 카페로 완전 추천해요!! 루프탑도 있고 갓벽한 카페임니둥","케이크(긍정), 공간편의시설(긍정), 분위기감성(긍정)","001000110000"
"상큼한 생과일 모찌가 디저트로 부담없이 먹기 너무 좋았어요 사장님도 친절하시고 디저트도 너무 맛있었어요","기타디저트(긍정), 서비스(긍정)","000001001000"
"뽑기 3등 당첨돼서 디저트 받았어여 테린느 말차 개맛있슨","기타디저트(긍정)","000001000000"
"케이크 맛집이라고 해서 찾아왔어요! 딸기도 싱싱하고 맛있어요!","케이크(긍정)","001000000000"
"두시간은 너무 짧았요 근데 이런 이색적인 데이트는 재밌네요","분위기감성(긍정)","000000010000"
"사람 별로 없는 타임에 딱 잘 가서 바람 솔솔 들어오는 자리에서 커피 한잔 서울숲뷰 초록초록하니 너무좋았고 갠적으로 아아보다 콜드브루가 더 맛있네요","커피음료(긍정), 분위기감성(긍정), 혼잡도_웨이팅(긍정)","100000010001"
"추석 연휴 전이라 사람없어 너무 좋네요 빵도 너무 귀여워서 선물용으로도 좋을거같아요! 핫플이라 꼭와보심이!!","베이커리빵(긍정), 선물포장(긍정), 혼잡도_웨이팅(긍정)","010000000011"
"인테리어 별로고 그냥 먹을만 해.","분위기감성(부정)","000000020000"
"빵이 만든지 오래된 느낌..딱딱하구.. 빵 고르면 접시에 담아주시는데 크림 만진 손으로 해주셨는지 접시에 크림이 묻어있었어요","베이커리빵(부정), 서비스(부정)","020000002000"
"칵테일 마시러 왔다가 에스프레소 마셨는데 너무 맛있어요 민트라떼는 민트가 강하지 않고 맛있다고 합니다 아페롤 스프리츠 달달하니 맛있습니다 분위기도 좋고 기분 좋은 성수 나들이","커피음료(긍정), 분위기감성(긍정)","100000010000"
"회사 근처라 자주오는데 모임이나 가볍게 오기 좋아요","분위기감성(긍정)","000000010000"
"성수갔다가 사봤는데 유명할만 합니다! 매장이 협소해서 4명 이상 입장이 안된다고 본거같아요 개인적으로 굿임 단점은 횡단보도인가 여튼 문앞에 사람이 짱많음","공간편의시설(부정), 혼잡도_웨이팅(부정)","000000200002"
"캘리포니아 감성 카페! 조금은 조용하고 한적한 느낌이라 자연스럽게 여유로운 마음이 생긴다 날 좋은 날 테라스에서 시간 보내도 좋을듯","분위기감성(긍정), 혼잡도_웨이팅(긍정)","000000010001"
"분위기도 좋고 음식도 너무 맛있어요 !","분위기감성(긍정)","000000010000"
"매장도 넓고 음료 베이커리도 맛나네요 굿굿!!!","커피음료(긍정), 베이커리빵(긍정), 공간편의시설(긍정)","110000100000"
"강아지랑 와서 맛있게 먹고가요","공간편의시설(긍정)","000000100000"
"넓은 매장과 맛있는 커피를 마실 수 있는 카페입니다. 다만 매장의 넓이에 미치지 못하는 적은 좌석들은 붐빌 때에는 대기할 수 밖에 없을 것 같아요. 놀라 플로트는 정말 맛있어요.","커피음료(긍정), 공간편의시설(부정), 혼잡도_웨이팅(부정)","100000200002"
"와인도 맛있구 여기 아이스크림, 노래 맛집이에요 사장님 플리 짱","기타디저트(긍정), 분위기감성(긍정)","000001010000"
"유명하다고 해서 왔는데 맛있게 잘 먹고갑니다!! 다음에 또 올게용!","대상 모호(없음)","000000000000"
"분위기도 너무 좋고 디저트류 츄로도넛 짱맛있어요!! 날씨 더운날 에어컨도 빵빵하게 틀어줘서 편하게 즐거운 시간 보냈어요","기타디저트(긍정), 공간편의시설(긍정), 분위기감성(긍정)","000001110000"
"왜 조각당 8천원인지 납득이 안감. 딸기랑 얼그레이 먹어보았는데 시트는 촉촉하나 크림도 겉돌고 케이크가 맛이 없음.","케이크(부정), 가격가성비(부정)","002000000200"
"무스케익 맛있어요. 피스타치오인데 느끼함 없이 산뜻하고 부드러워요! 디저트 종류가 다양하고 맛있어요. 친절하시고 메뉴 자리에 직접 가져다주세요.","케이크(긍정), 서비스(긍정)","001000001000"
"네이버 예약되어서 너무 편합니다. 가게 분위기도 너무 좋아서 성수 온 김에 친구들이랑 함께 즐기기 딱 좋은것 같아요!","공간편의시설(긍정), 분위기감성(긍정)","000000110000"
"브런치, 디저트, 음료 메뉴가 다양하고 상주견 하루가 정말 순하고 귀엽습니다. 좌석도 편하고 사장님들도 친절하셔서 편안한 시간 보냈습니다.","공간편의시설(긍정), 서비스(긍정)","000000101000"
"와 땅콩버터 나온거 따뜻해요!! 완전 신기합니다 바나나푸딩 토스트도 진짜 맛있어요!!!","베이커리빵(긍정)","010000000000"
"베이글 맛집이네요,,,,, 들어가자마자 직원분들이 밝게 인사해주셔서 기분 좋아졌어요! 버터소금라떼 짭짤하이 고소하이 부드럽고 너무 맛있었어요","커피음료(긍정), 베이커리빵(긍정), 서비스(긍정)","110000001000"
"아이가 빙수먹고 싶다고 해서... 사장님도 너무 친절하시고 생각보다 내부가 넓네요? 쾌적하고 느낌있는 카페에서 너무 맛있게 먹었어요. 커피 가격이 상대적으로 착한데 너무 맛있네요","커피음료(긍정), 빙수과일(긍정), 공간편의시설(긍정), 분위기감성(긍정), 서비스(긍정), 가격가성비(긍정)","100010111100"
"브런치 맛집이에요!!! 맛있오요","베이커리빵(긍정)","010000000000"
"커피가 너무 맛있어요 분위기도 아기자기 예쁘고요","커피음료(긍정), 분위기감성(긍정)","100000010000"
