Original_Review,label
사장님이 정말 친절하시고 인테리어가 너무 예뻐요지난번에 왔다가 너무 예쁘고 음료에 디저트까지 맛있어서 또 왔는데 역시 실패없는 뉴앳던입니다,100001011000
넓고 대화하기는 좋아요. 커피는 쏘쏘. 빵은 맛없음. 화장실 가기도 블편했음,320000200001
바질토마토 에이드가 생각보다 너무 맛있어요 디저트도 쫀맛...,100001000000
친구 추천으로 와봤는데 너무 친절하시구 맛도..진차 맛도리,000000001000
비건 쿠키라는데 일반 쿠키보다 훨씬 담백하고 맛있어서 놀랐습니다.,000100000000
촬영차 방문했습니다! 커피도 맛있고 사장님도 친절하셔서 재방문 할 생각입니다!,100000001000
분위기도 좋고 맛도 최고예영.. 다음에는 더 달게해서 먹어보겠슴당,000000010000
탐앤탐스! 십여년만인가요... 24시였네요 여행 예약해야 되는데 집에선 계속 딴짓해서 늦게 나와서 잘하고 갑니다,000000100000
지나가다 들어왔어요 요요요좋아요요 버러쿠우키 너어무 맛있엉,000100000000
식사 후 디저트 타임에는 손님이 집중적으로 많아지네요.,000000000003
네이버에서 보고 너무 맛있어보여서 왔는데 케이크도 다 예쁘고 맛있어용 레몬 머랭 케이크가 특히 맛있습니당,001000000000
계산 실수 시 바로 잡아주긴 하는데 사과가 아주 정중하진 않아요.,000000003000
딸기핀 안에 딸기 크림 듬뿍 상큼 달달 베이커리 종류 많고 다 비주얼 굿... 항상 사람이 많아서 좋은 자리는 하늘에 별따기,010000000002
사진 드럽게못찍네요.. 메뉴는.. 입니다 식사 후 커피를 드시는건 건강에 좋지 않아요. 위가 늘어나고 위액이 희석됨 뿐 아니라 카페인은 알코올을 받아들이는 신체반응과 비슷해서 분해 1순위가 되다보니 식사로 드신 영양소가 살찌는 영양소가 된답니다 그러니 디카페인으로 드시고 라떼로 드셔보세요 카페인으로 소모되는 단백질을 우유로 보충 그만할게요,300000000000
포장지 색깔이 너무 칙칙해서 선물 받는 사람이 오해하겠어요.,000000000020
맛있고 공간도 이쁘고 베이커리 저렴한 것만 더 메뉴에 추가되면 좋을 거 같아요,030000110000
컵 사이즈 선택이 가능해서 취향껏 고르면 될 듯요.,000000000300
베이글 가게가 새로 생겨서 왔어요! 베이글 샌드위치 종류도 다양해서 고르는 재미가 있을 것 같아요. 담엔 샌드위치 먹어보려고요,010000000000
라떼아트 챔피언 커피는 어떨까 하고 궁금해서 방문했는데 너무 맛있었어요... 에쏘 메뉴도 하나 더 마셨는데... 너무 맛있었네요,100000000000
아이스크림이랑 와인 조합이 너무 좋았어요!! 또 방문하겠습니다,000001000000
메이왕에그타르트 성수핫플 사이즈가 기존 타르트보다 훨씬커요. 3구세트 2개 구입해서 1세트 언니 선물로 주고...,000100000010
일찍 오픈하셔서 브런치로 먹기 좋아요 더운 여름인데 매장이 시원합니다,000000100000
나들이 하고 싶어서 오랜만에 성수 카페 갔는데 너무 제 스타일이였어요 커피랑 케이크가 생각보다 많이 달지 않아서 입맛에 딱 맞았어요 게다가 직원분들 다 친절하셔서 기분 좋게 쉬다 왔네요 재방문 의사 있습니다!,101000001000
음악 소리가 너무 커서 일행이랑 대화하는 게 불가능할 정도예요.,000000020000
서울숲을 걷고 바람이 너무 불어 급하게 피해 들어온 카페친구와 간만에 공원뷰 보며 수다,000000010000
딸기라떼가 참 맛있어요. 인테리어가 고즈넉하니 참 예쁘요.,100000010000
추천해주신 러프포레스트 신메뉴 마셔봤는데! 단짠단짠 자꾸 생각나요오... 딸기크럼블치즈케이크는 어쩜 그렇게 꾸덕한건지!!!,101000010000
진짜 맛있어요 ! 지난번 말차도 맛잇고 망고도 맛잇엇어요!,000000000000
구움과자 개별 포장지는 투명해서 내용물이 잘 보입니다.,000000000030
정원이 있는 카페라 도심 속에서 자연을 느끼기에 최고였습니다.,000000010000
커피가 친절하고 사장님이 맛있어요.,100000001000
빙수 먹는데 과일 씨가 계속 걸려서 먹기가 너무 불편했네요.,000020000000
친절하고 맛있어서 좋아요,000000001000
스윽 쇼핑하기도가볍게 식사하기에도 좋아요,010000000000
포장 속도는 적당히 평범한 수준이라 기다릴 만했습니다.,000000000030
빵 테이크아웃 했어요. 아몬드튀일은 담백한 맛이었어요. 두툼합니다. 비가 와서 그런지 살짝 눅눅했지만 먹을만했어요. 소금빵이 대표 메뉴라 소금빵 하나와 쌀소금빵 하나 샀어요,030300000000
대기줄이 있어도 금방 줄어 비교적 빠르게 구입했습니다!!프레첼 너무 맛있게먹었습니다,010000000001
"소금빵베이글 맛이에요! 줄은 매장이 더 빠르고, 그때그때마다 재고가 달라서 기다렸다가 나오면 구매가능해요! 바질이랑 피칸 들어간게 맛있었어요",010000000003
"매장이 특색있고 트렌디함. 실내석, 야외정원 테이블, 옥상테이블 있어서 넓지만 그만큼 사람들도 많음. 화장실은 옛날건물이라 조금 무서움.",000000210002
수박주스가 수박 100프로라구 해서 왓어용! 넘 마시싸용!!!,100000000000
맛있게 잘 먹었습니다!,000000000000
가격 인상 공지가 입구에 붙어 있어서 미리 알았네요.,000000000300
성수대형카페 분위기 좋고 커피와 디저트도 맛있어요,100001010000
초코소금빵?이 제 취향을 저격했어요 다른 빵들도 맛있고 친절하시고 좋아요,010000001000
분위기 좋은 와인바 아이스크림 너무 맛있어요 잘 놀다갑니다 !,000001010000
넓고 깨끗해서 좋아용,000000100000
"블루베리 페스트리 너무나 맛있어요. 곁들이는 크림 역시 너무 달지 않고 전반적으로 밸런스가 잘 잡힌, 훌륭한 맛입니다. 오우드는 매일 도장깨기 하는 맛이 있어요. 한동안 모든 메뉴 다 먹어보려고요!!",010000000000
포장 주문 시 사이즈 업 안 된다고 해서 기분 좀 상했습니다.,000000000020
"너무 맛있어요 티라미수, 모찌 맛집 인정... 날씨도 좋아서 테라스에서 먹어도 좋을 것 같네요",001001100000
너무 맛있어요. 분위기도 좋고 친절하셔요,000000011000
제철 과일 주스가 정말 신선하고 당도가 높아서 최고였어요.,100000000000
귀여운 베이글과 커피한잔으로 이야기 꽃을 피워요,330000000000
베이글이 질겨도 너무 질겨서 고무 씹는 느낌이었네요.,020000000000
예약은 네이버로 미리 하고 가면 대기 없이 입장됩니다.,000000000003
조용하고 깨끗하고 좋아요,000000100001
소금빵이랑 그 외 빵들도 종류가 다양하고 또 오고 싶을 정도로 맛있어요!,010000000000
커피도 맛있고 레몬파운드케이크도 맛있음,101000000000
너무 더웠는데 시원하게 망고빙수 맛있게 먹었습니다! 양도 많았고 친절하시어 너무 좋았어요!,000010001000
쇼핑백이 너무 약해서 들고 가다가 손잡이가 툭 끊어졌네요.,000000000020
"대화하기에 분위기가 좋고, 주문한 아이스크림 전부 실패없이 맛있었어요!",000001010000
청포도 빙수 토핑이 듬뿍 올라가서 비주얼도 맛도 만점입니다.,000010000000
잼을 활용한 음식들이 다 너무 제 취향이었어요 또올게요!,000000000000
과일 플레이팅이 사진이랑 너무 다르고 대충 담아준 느낌이에요.,000020000000
망고아이서커림넘모 마싯네영!!! 매우 친절하세요,000001001000
"프랑스 건강빵이 가득한 곳 줄서는 빵집 8시 오픈해서 좋고, 금방 나온 빵을 먹을 수 있어서 넘 좋다!",010000000002
키오스크 개불편. 다른건 조하,000000200000
웨이팅 번호표가 디지털 화면에 표시되니 확인 잘 하세요.,000000000003
부산 촌년 성수동 핫플와서 커피마시는데 너무 맛나요,100000000000
분위기도 너무 예쁘고 맛있어요. 방송탔다해서 대기 있을 줄 알았는데 운좋게 바로 들어 갔습니다. 주차는 안돼요.,000000210001
생각외로 외국인이 친구 가족단위로 많아서 놀랐어요 그만큼 브런치 정통 맛집이라는 뜻이겠죠,010000000000
성수 밀도 너무 맛있어요!!! 근데 제일 애정하는 큐브초코 이제 안 판다고해서 너무 슬프네요 사장님 큐브초코 엄청 맛있어요 지인들 선물로도 인기 만점이었는데 꼭 다시 팔아주세요,010000000010
맛있고 분위기도 좋아요,000000010000
예전부터 오고싶었던 곳이라 예약하고 방문했어요! 너무 이쁘고 맛있어요,000000010000
너무 맛있어서 땅콩버터는 여기서만 사요!!! 진짜 최고에요!!!!,000001000000
커피 너무 맛나구여 카페가 넘 이뻐서사진 찍기 딱이에요!!... 크로플도 넘 맛나요,100001010000
포장장지가 눅눅해져서 민망했어요.,000000000020
망고 빙수라고 시켰는데 망고가 너무 시고 딱딱해서 실망했어요.,000020000000
넓은 공간에 라운지 느낌의 카페라 좋아요!,000000110000
카페 분위기가 넘 좋고 직원분들도 친절하세요 음료도 가성비 좋고 달달했어요,100000011100
와 레드벨벳 케익 꼭 드셔보세요!!! 역대급 좐맛,001000000000
성수에서 딸기케이크 진짜맛있는곳커피도 맛있네용,101000000000
자몽 티는 쌉싸름한 맛과 단맛이 반반 정도 섞인 맛입니다.,300000000000
가방이나 옷을 둘 곳이 마땅치 않아 무릎 위에 두고 마셨네요.,000000200000
커피 한잔에 한시간을 기다려야 되는건 정말 화가 나네요.. 두번은 못갈 것 같습니다,000000002002
매장도 시원하고 데이트하기 좋네요 케잌들도 이쁘구 마음에 드는 카페에요 ),001000110000
주차가 불편하지만 소금빵이 너무 맛있어요,010000200000
파운드 케이크는 슬라이스로도 팔아서 부담 없이 먹기 좋네요.,000100000000
빵은 카라멜 바나나슈 빵이 너무 달아요. 메뉴를 잘 골라야 할듯해요.,030000000000
테이블마다 콘센트가 있어서 노트북 작업하기 정말 최적의 장소예요.,000000100000
커피에 늘 마려운 1인이 처음으로 성수동에 이사오길 잘했다고 느끼는 곳. 앞으로 커피는 여기입니다. 적게일하고 많이 버십쇼,100000000000
분위기가 너무 좋고 작업하기에 좋아요 그리고 커피가 넘나 맛있습니당,100000010000
보카도라는 이색디저트... 보카도랑 코코넛아이스크림이 꿀조합이구요. 카카오크림도 같이 찍어먹으면 최고!,010001000000
기다린만큼 맛있었어용 ! 크리스마스 인테리어도 넘 옘뻐요 !,000000010003
꺄아악 너무 맛 있어요 장봉버터 아주 깔끔한 환상조합 강추!!! 연어 베이글 샌드위치 도 으음 너무 너무 싱그러운 맛!!! 또 올꺼예용 재방문 1000000 입니당,010000000000
분위기 너무 좋고 아이스크림도 너무 맛있어용!!,000001010000
웨이팅 등록 후 근처에서 놀다가 방문했는데 너무 맛있어요 특히 기본 도넛을 강추합니다!,000001000003
딸기빙수 원탑이에요! 기본에 충실한 맛이고 카페 내부도 청결하고 조아요,000010100000
분위기가 정말 시원하고 쾌적해서 좋았어요... 바스크 치즈케이크를 먹었는데...,001000110000
사진이랑 실제 매장 분위기가 너무 달라서 낚인 기분이 들었어요.,000000020000
맛있고 예쁘고 가격도 합리적입니다,000000010100
카페디자인은 좋은데 넘 시끄러요,000000010002
스토어 왔는데 시원하고 새로워요,000000100000
티라미수가 너무 축축해서 빵이 아니라 물 마시는 기분이었음.,002000000000
"빵이 맛있고 가격도 적절한 성수빵집, 시그니쳐 빵인 대파크림베이첼은 친구가 구매해서 빵집앞에 서서 맛봤는데 크림이 달고 대파향도 살짝났고 개적으로 좋아하는맛 그외 몇가지 구매후포장 치즈올리브 치아바타 맛있었고 뺑오쇼콜라는 텐트밖 프랑스에서 보고 넘기대해서인지 그냥 그랬어요. 성수동가면 또 가고싶어요",010000000110
웨이팅 하는 사람들 눈치 보여서 커피를 코로 마시는 기분.,000000000002
"성수는 메인거리에는 수많은 카페가 있는데 어딜가도 전부 좌석이 하나도 없어서 가게 되었는데 통창유리에 깔끔한 금박 훔볼트 라고 적힌 간판을 발견 고급진 외관에 드넓은 내부, 화이트톤의 호텔같은 분위기! 샹들리에가 굉장히 멋져서 눈에 띄었다 베이커리가 굉장히 다양하고 커피와 음료도 많다 너무 맛있어보여서 고심끝에 딸기티라미수,딸기차,치즈바게트,밀크티를 시켰는데 진짜 티라미수 입에서 녹는다.. 딸기차도 생각보다 양이많고 비주얼은 별로인데 맛은 또 좋아서 의외로 놀랬다. 사람도 많고 대형카페인데 조용한 분위기라 대화하기 넘 좋아서 강추한당",111000110001
롯데월드몰에서 먹었는데 맛있어요 다들 줄 서있어서 뭔가 했는데 아이스크림이 진하고 맛있네요,000001000002
"포레스트 성수 빙수 퀄리티 진짜 최고예요! 밀크티넛 빙수를 먹었는데, 밀크티 향이 제대로 느껴지고 견과류 식감도 좋았어요. 다음엔 다른 빙수들도 먹어봐야겠어요.",000010000000
"성수에 분위기 좋은 와인바입니다. 아이스크림 가격도 괜찮고, 특히 크림블루치즈 아이스크림이 되게 색다르게 맛있습니다. 루프탑도 있어서 선선한 날씨에 방문하기 좋을 것 같습니다.",000001110100
첫 베이킹인데 너무 아늑하고 좋은매장에서 배울수있어서 정말 좋았어요!,000000011000
카페가 너무 예쁘고 귀여워요 친구랑 재밌게 놀았어요,000000010000
디저트는 이 근처 카페들이랑 비슷한 수준이에요.,000003000000
"커피가 진짜 맛있어용 라떼가 넘 꼬숩고 맛나니깐 꼭 드셔보세용,,,",100000010000
성수에 남자친구랑 데이트하러갔다가 태연이 다녀갔다는 성수카페 한입베이글에 다녀외써요 오픈한지 얼마 안됐다는데 연예인들 왔다갈 정도의 맛? 진짜 맛있어요 왜 왔다갔는지 알겠더라는 앞으로 더 유명해질것같아요,010000000000
베이글 쫄깃하고 맛있어요! 맥주 가격행사하고있어서 좋아요 한가지 아쉬운건 좌석이 더 많아졌으면 좋겠어요,110000200100
네이버로 주문하고 찾아가는거 편해용,000000001000
맛있는 빙수와 수제케이크 즐기며 힐링 제대로 했어요!!,001010000000
맛있구 직원분도 착하세요!!,000000001000
서비스가 아주 훌륭한 건 아니지만 동네 카페 수준으로는 적당함.,000000003000
아늑한 매장. ... 주문하고 커피받는데 좀 오래걸리긴 했지만 대화하기 괜찮은 카페.,100000012000
디올 건물뷰 볼 수 있어요 내부 깔끔했어요 화장지 다 떨어져서 아쉬웠어요 달라 하니 티슈 세 조각 주시는 게 아쉬웠어요,000000212000
카페가 넓고 야외좌석에서 햇볕쐬기가 좋아서 요즘 자주 들르는 곳입니다.,000000100000
분위기 좋고 커피도 맛있어요 공간이 넓어서 좋아요,100000110000
개인 텀블러 사용했더니 깨끗이 씻어주시고 할인도 해주셨어요.,000000001000
스콘은 플레인 맛이 가장 기본적이고 무난한 것 같아요.,000300000000
말차 케이크 유명하다더니 치즈케이크도 어어어어엄청 맛있네요! 유명한데는 이유가 있네요!! 완전 추천! 가게는 좀 아담한 편이긴 해요 주말에는 대기있을지도....?,001000200003
편안한 분위기에서 맛있게 만들수 있었습니당,000000010000
"우연히 방문했는데,,일상 속 여유로움을 선물해주는 카페였어요",000000010000
빵순이라... 성수 소금빵 돌아다니면서 다 먹는데...... 진짜 인생 최악의 소금빵이네요 기름 범벅..... 한개 먹고 속이 느글느글 거리네요. 겉바속촉이 아니라 눅눅 기름이 뚜뚝 떨어집니다.. 마치 명절때 기름 가득한 전 엄청 먹은 것 같아요. 빵 먹고 나면 입 주변이 기름으로 번들번들.... 인테리어나 포장에 신경쓰기보단 맛에 신경쓰셔야할 것 같습니다.,020000020020
분위기도 너무 좋고 커피도 맛있어요,100000010000
완전 카공을 위한 카페에요 초코우유 완전 찐해요..!,100000010000
쪽파 베이글 너무 맛있어요너무 배고팠는데 한입에 다 먹었어요 다음에 또 올 예정,010000000000
나갈 때 문까지 열어주시며 인사해 주시는 모습이 인상적이었습니다.,000000001000
망고빙수 짱크고 맛있어요 !!!! 완전 커요,000010000100
빙수 시럽 양을 적게 해달라고 부탁드렸더니 딱 좋았습니다.,000030000000
쿠키들이 대체로 다 맛잇고 쿠키 디자인도 귀욤뽀짝하고 달달구리하게 맛잇었습니다! 커피도 탄 내 안나고 따땃하니 맛나게 잘먹었습니다,100100000000
너무 맛있어요!!!!!! 파삭하고 맛있어서 맨날 생각나는 맛,000000000000
포장을 너무 대충 해주셔서 집에 오니 케이크가 다 뭉개짐.,000000000020
커피랑 디저트 전부 맛있었어요,100001000000
붕어빵소금빵 너무 먹고 싶었는데 맛있네요! 망고빙수도 최고입니다 성수에서 핫플 맛집입니다!,010010000000
맛있어요! 메뉴도 다양하고 특이한 메뉴가 있어서 좋았어요! 분위기도 좋고 청결합니다,000000110000
다 맛있었는데 전 콘 에그타르트 강추!!! 그리고 내부 인테리어 정말 이뻐요,001000010000
"단호박스프,라자냐,삼치파스타 주문해서 먹었습니다 다 맛있었는데, 삼치파스타가 은근 기대안했는데 더 맛있네요 맛있게 잘먹고 갑니다",010000000000
연남동에서 디저트 맛집으로 유명한 작당모의가 성수에 오픈했다고 해서 온 보람이 있습니다. 상큼한 디저트와 맛있는 커피에 감각적인 인테리어까지 어우러진 서울숲 최고의 카페가 될 것 같네요bb,100001010000
빽다방의 달달한 카페라떼,300000000000
분위기 좋은 카페입니다 강추해용,000000010000
성수에 이렇게 맛있는 베이글집이 있다니 다들 가보세오 두바이 눈물나는 맛,010000000000
넓은공간 많은종류의 빵 맛있는 커피,110000100000
빙수 얼음 자체가 우유 얼음이라 그냥 먹어도 고소하고 맛있습니다.,000010000000
커피랑 하이볼 같이 있어서 저녁시간에 방문하기 좋았어요! 바나나푸딩 사장님 추천으로 주문했는데 추천해주신 이유가 있네요,100001000000
성수 데이트 코스 추천 레터링 케이크가 너무 만족스러워서 재방문했어요... 난이도 하 시간60분 맛 친절함 측정불가,001000001000
성수동은 뚝도시장만 아는 친구가 놀러와서 성수감성 카페를 어디를 데려갈까 고민하다가 여기가 좋겠다 생각해서 방문했어요 뷰가 정말 멋있고 평일 낮에는 사람도 적어서 한적해서 너무 좋아요! 참고로 주말엔 사람 엄청 많습니다,000000010003
직원분들이 손발이 착착 맞아요. 빠르게 수령 가능 !,000000001000
맛있어요 커피도 맛있고 예뻐요,100000010000
우연히 들어갔는데 크로플도 도톰하니 맛있고 좌석도 편해요!,000001100000
노래도 좋고 분위기가 너무좋아요!! 성수동카페거리라 접근성도좋고! 또올게요,000000010000
쿠팡이츠로만 먹다가 처음 와봤어요! 매장 예뻐요 맛은 말모! 맛있음,000000010000
이물질이 있어서 당연히... 전혀 사과 안했어요. ... 그렇게 맛있는것도 아니고... 인사성은 없는게 기본이고 홀도 비위생적인듯.,000000202000
음료도 맛있는데... 바닐라 라떼를 더 맛있게 먹었어요! 스탭들 친절하세요!,100000001000
요거트 스무디 농도가 딱 적당해서 빨대로 마시기 편합니다.,300000000000
분위기 좋고 케이크랑 음료도 너무 맛있습니당,101000010000
빙수 양도 많고 너무 맛있어요! 생망고도 통으로 올라가있어서 좋았습니다. 머리가 띵할정도로 시원해요,000010000000
원두 선물 세트 구성이 알차서 커피 좋아하시는 분께 드림.,000000000010
피넛버터... 건강에도 좋고 맛도 맛있고 직원분들도 친절하시고! 카페 아늑해서 있다가 오기도 좋을 것 같아요,010000101000
초코케미크가 너무 맛밌머묘.. . .,001000000000
사진도 잘나오고 엄청 이쁜 카페에요!,000000010000
케이크 시트가 너무 퍽퍽해서 음료 없이는 목이 막혀 못 먹음.,002000000000
친구 생일에 기념일 케이크로 복숭아케이크 주문했는데 대박,001000000000
버터소금이랑 초코 맛나요,010001000000
당일예약도 가능하고 너무 좋아요! ... 초코 시트 같은데 초코맛은 하나도 안났고 크림치즈 맛이 강한거 같아요!,003000001000
솔티카라멜은 달달한 크림맛이 먼저 나다가 짭짤씁쓸한 맛이 훅 들어와요 쇼콜라 콘파냐도 너무 달지만은 않아서 좋았어요 노래도 차분하니 좋아요! 공간이 널찍하진 않지만 앉아서 먹을 수 있어서 너무 좋았어요 무엇보다 커피가 진짜 맛있음,100000210000
디저트 코너가 따로 마련되어 있어 직접 골라 담으면 됩니다.,000100000000
딸기 빙수 딸기가 냉동이 아니라 생딸기라 향부터가 다릅니다.,000010000000
날이 더워서인지 오후시간대인데 제가 방문했던 그어떤날보다 빵이 가득차있어 좋았어요. 커피도 맛나게 내려주셔서 오붓한 시간보내고 귀가했네요,110000000000
쫄깃하고 맛있어요!!! 베이글 종류도 많아서 하나씩 다 먹어볼게요,010000000000
디저트 다양해서 조와욜,000000000000
커피는 다크블랜딩인듯해요. 그렇다고 쓴맛이 강하지 않아서 뜨아를 즐기기에 나쁘지 않네요. 인테리어는 힙한 느낌...,100000010000
제가 성수에서 제일 좋아하는 에스프레소 바입니다!!! 가격도 저렴하고 공간의 분위기도 좋고 기본 에스프레소부터 마끼아또 콘파냐 빈센트 그라니따까지 먹어봤는데 전부 다 정말정말 맛있어요 성수 오면 항상 가는 곳입니다 오래오래 있어주세요,100000010100
달달하고 맛잇었습니다 커피맛집이에요,100000000000
포장도 너무 예쁘고 먹기 아까울 정도로 예쁘고 맛있었음,000000000010
여기 오면 디저트는 무조건 1인 1개 해야 합니다. 너무 맛있어요.,000100000000
2번째 방문이에요 디저트 정말 맛있고 머메이드 에디션 정말정말 이뻐용,000000010000
사진 찍을 곳도 많고 음료랑 디저트도 맛있어요,000001010000
양이 너무 많고 너무 맛있어요!,000000000100
너무너무 맛있어요 입맛 까다로운 엄마도 달콤짭쪼름하니 맛있다구했어요,000000000000
허엉 원래 다른카페 가려고했는데 샌드위치 비주얼 보고 여기서 먹기로 정했어요 너무 맛있어요! 담에 또 오고싶어요,010000000000
기대했던 만큼은 아니었지만 맛있었어요 인테리어는 귀욥,000000010000
케이크 크기는 1호 사이즈가 가장 기본이고 인기 많대요.,003000000000
너무 맛있어요 메뉴도 많아서 좋아요,000000000000
분위기도 좋고 도너츠 종류도 많아서 너무 마음에 드네요 디저트가 전부 예뻐서 포장 선물해도 딱 좋을 것 같아요 음료도 다 잘해서 정말 마음에 드는 카페를 찾아서 기분이 좋네요 ),100001010010
여기는 외국인들을 위한 카페같아요 비주얼에 비해 맛은 평범했어요,000000000000
분위기가 성수스러워요 디저트랑 커피도 독특하고 맛있어요,100000010000
와인추천 넘 완벽하고 아이스크림에 와인 조합이 어색하지만 생각보다 너무 어울려 감동이에요. 재방문 무조건 입니다,000001001000
리치식빵이랑 잡곡미니식빵 최애!!,010000000000
와인과 아이스크림의 절묘한 조합이 매력적이었어요! 특히 카망베르치즈 아이스크림..JMT 그 자체였습니다 치즈 플레이트와 스낵도 맛있었습니다 다음 성수 데이트 때도 재방문하려고 합니다!,000001000000
2층인데 계단만 있고 엘리베이터가 없어서 이동이 너무 힘들어요.,000000200000
저번에 우연히 지나가다가 들렀는데... 지인한테 선물할려구 또 방문했는데 직원분도 너무 친절하시구 도넛이랑 타르트도 진짜 너무 맛있구,001001001010
쫀득쫀득 베이글이 있는곳이예요!! 왜 구글 평점 1위인지 알정도로 맛있어서 또 다음에 브런치 먹으러 오고싶어요,010000000000
카눌레 맛있어요! 디저트 종류가 엄청 많아서 재방문 n회차 해야 될 것 같아요,000100000000
"빵이 전반적으로 사진보다 작네요 아기자기,,",030000000200
일요일 한시 조금 넘어서 갔는데 웨이팅은 있지 않았어요 포장으로 케이크와 아이스트림 먹었어요 아이스크림은 조금 단것 같아요. 무화과 케이크는 달지않고 맛잇게 먹었어요,001003000031
우와 정신없고 무엇보다 커피나와서 부르는소리가 안들림,000000002002
"카페 분위기 좋네요, 와플도 너무 맛있어요",000001010000
딸기케이크 너무 맛있고 딸기도 왕창 들어잇어요!!!!! 딸기라떼도 맛나요!!! 카페가 넓고 클스마스 분위기 나서 조아요,101000110000
음식이 맛있고 직원들이 친절해요,000000001000
비 오는 날 입구에 우산 비닐이 준비되어 있어 직접 사용하면 됨.,000000003000
오전에 가니 줄도 없고 좋네요 빵은 맛있어요,010000000001
"음료를 가져 갈 쟁반도 없고, 와이파이도 안되고...콘센트도 없고...조금은 불편함을 감수해야하는 블루보틀",000000202000
"브라우니바이트, 바나나머쉬룸머핀 모두 다 맛있어요!! 카카오 원두로 먹었는데 진하고 산미 없이 맛있어요",100100000000
미미님 유튜브 보고왔는데 징짜 맛있네요 프토 엄청 추천합니다요,010000000000
너어어어어어어무 맛있어요! 과일이랑 찹쌀떡이랑 너무 잘어울렸어요 굿굿!!,000001000300
추천받아서 왔는데 너무 편안하고 아늑하고 좋아요. 커피 맛집이예요.,100000010000
"디저트도 너무 맛있고, 음료도 맛있어요! 분위기도 좋아요",100000010000
샌드위치 포장이 제대로 안 돼서 내용물이 다 흘러나왔어요.,020000000000
소금빵 맛집답게 종류도 많고 맛있우용!! 커피도 향좋고 맛나용... 청결도 유지 잘해주시고 친절해서 쨩쨩,110000101000
에그타르트에서 계란 비린내가 너무 심해서 한 입 먹고 버렸습니다.,000200000000
다른 망고빙수와는 완전 다르고 생망고가있어서 너무 맛있어요..,000010000000
디저트가 엄청 이쁘고 고급집니다.,000001000000
음식과 분위기 다 맛있어요! 버섯파스타가 꾸덕하면서 맛있고 무화과 프렌치도 너무 맛있었어요! 추천합니다.,010000010000
1인 1메뉴 강요도 없고 가격도 착해서 마음 편히 쉬다 갑니다.,000000000100
넘 예쁘고 맛도좋아요 ! 남친이 케이크 반판 흡입하는가 첨봐여.. 케이크 1도안좋아한다는데,001000010000
커피도 직접 로스팅하고 베이커리도 직접 하는 카페라 전부 맛있어요 좌석도 넉넉해서 좋아요,110000100000
날이 너무 더워서 근처에 빙수 팔길래 들어왔는데 너무 시원하고 빙수도 너무 맛있었어요,000010100000
전에 성수와서 아인슈페너 먹었다가 반해서 또 방문했어요! 여전히 맛있네요 매장도 크고 복잡하지 않아서 편하게 대화하기 좋습니다!,100000100001
"매일 아침 한잔, 커피 맛있어요",100000000000
망고빙수가 너무 먹고 싶어서 유명해 보이는 곳 찾아왔는데 잘 온것 같아요 빙수가 완전 커요... 카페가 쾌적하고 시원해서,000010100000
초콜렛음료가 맛있고 허니브레드도 맛있었어요!,110000000000
