text,aspect,classification_method
"가게 안에서는 먹을 곳이 없지만, 나와서 살짝
왼쪽으로 돌면 바닥에 플라스틱 박스 깔아놓은
곳에서 다들 앉아서 먹음...ㅋㅋㅋ","Service, Vibe, Coffee/Drink",keyword
슬러시 맛있었어요.,"Dessert/Bakery, Coffee/Drink",keyword
군밤맛 믹스 가루커피 샀는데 비싼감이 있지만 선물용으론 좋을 것 같아요.,"Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
직원분들이 너무 예쁘고 잘생겼으며 친절하십니당♡,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"저는 군밤맛, 친구는 볶은쌀맛으로 시켰는데 2개 모두 맛있어용!!","Dessert/Bakery, Vibe",keyword
선물박스도 하나샀습니다♡,Price,keyword
매장 안에서 먹을수는 없지만 매장 바로 옆에서 먹을수있도록 자리가 만들어져있습니다,"Vibe, Coffee/Drink",keyword
성수에 오신다면 뉴믹스 추천드립니당~~~,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
카페까지 가서 믹스거피를?,Coffee/Drink,keyword
라는 생각이 있긴 했지만 가격도 저렴한 편이고 평생 먹어본 믹스커피 중에서는 제일 맛있었다,"Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"음료, 디저트, 인테리어 전반적으로 창의적인 곳","Dessert/Bakery, Coffee/Drink, Vibe",keyword
쌀커피 강추,Coffee/Drink,keyword
진짜로 우리가 아는 믹스커피.,Coffee/Drink,keyword
"비올 떄, 날씨 좋을 때, 커피 이미 한 잔 마셨을 때, 달달한 게 땡길 때 언제든 찾습니다.","Service, Dessert/Bakery, Coffee/Drink",keyword
뉴믹스!!!!!!,Coffee/Drink,keyword
가게를 발견하고 도착했는데 아무도 없어서 1차 당황.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
그런데 주위에 거울로 둘러싸여있어서 어디가 테이블이고 주문하는 곳인지 헷갈려서 2차 당황.,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
직원이 아주 작은 문으로 쪼그린 채로 걸어나와서 3차 당황.,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
군밤라떼로 먹었는데 생크림이 올려져있고 가성비 굿!,"Vibe, Coffee/Drink, Price",keyword
맛있는데 직원이 좀 상주를 해주고 어려워하면 안내를 좀 해줬으면 좋겠다.,"Service, Dessert/Bakery, Coffee/Drink",keyword
왜 대한민국이 김봉진 의장의 다음 발걸음에 주목하는지를 확인할 수 있었다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
지나가다 시음 행사가 있어 시음 후 안에 들어가 다른 메뮤를 마셔봄,"Vibe, Coffee/Drink",keyword
주문한 메뉴가 믹스 위에 휘핑을 올려주는 타입이라 믹스의 맛이 잘 느껴지지 않음.,"Service, Dessert/Bakery, Coffee/Drink",keyword
"시음으로 맛있는게 확정된 오리지날 믹스만 구입
메뉴로써 맛이 있고 없고를 떠나 휘핑으로 인해 믹스의 맛을 느낄 수 없다면 실패가 아닌가 한다","Dessert/Bakery, Coffee/Drink, Vibe",keyword
사간 오리지날 믹스는 맛있었다.,Coffee/Drink,keyword
궁금했는데 맛이 좋아요!,"Dessert/Bakery, Coffee/Drink",keyword
오리지널 마셨는데 너무 달지 않으면서 라이트한 맛이었어요~,"Dessert/Bakery, Coffee/Drink",keyword
건빵 선물 사러 갔습니다.,"Dessert/Bakery, Price",keyword
집에 10통 쟁여놓고 싶은 마음!!,Vibe,keyword
이제 선물은 뉴믹스만 합니다.,"Dessert/Bakery, Coffee/Drink, Price",keyword
시음하고 맛있어서 사먹었어요 ㅋㅋㅋ,"Dessert/Bakery, Coffee/Drink",keyword
"뉴믹스""""
맥심의 단맛 버젼??",Coffee/Drink,keyword
오란다..,"Dessert/Bakery, Coffee/Drink",keyword
아는 맛..,Coffee/Drink,keyword
쏘쏘합니다,"Dessert/Bakery, Coffee/Drink",keyword
테이크아웃 매장입니다,"Service, Vibe",keyword
믹스커피가 이렇게 고급지다니 !!,"Dessert/Bakery, Coffee/Drink",keyword
인스타그램에서만 보다가 드디어 왔습니다!!!,"Dessert/Bakery, Coffee/Drink",keyword
볶은 쌀맛이 그렇게 맛있다고 ㅠㅠㅠ 슬러시를 못 마셔서 아쉽지만 또 올게요!!!,"Dessert/Bakery, Coffee/Drink",keyword
또오고 싶어욥!,"Dessert/Bakery, Coffee/Drink",keyword
분위기도 예쁘고 커피가 너무 맛있어서 홀린듯 구매함...,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
커피 맛이 매우 독특하고 매력있어요!!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
성수오시면 데이트코스로 좋을 것 같아요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
맛있고 즐겁고 친절해요,"Service, Dessert/Bakery, Coffee/Drink",keyword
감사합니다,"Dessert/Bakery, Coffee/Drink",keyword
뉴믹스 핫해용,Coffee/Drink,keyword
신기함!!!,"Dessert/Bakery, Coffee/Drink",keyword
믹스커피 재해석,Coffee/Drink,keyword
완전 힙해요 :),"Dessert/Bakery, Coffee/Drink, Vibe",keyword
메뉴가 신기하고 독특해요!,"Dessert/Bakery, Coffee/Drink",keyword
인스타에서 보고 왔는데 너무 신기했어요!,"Dessert/Bakery, Coffee/Drink",keyword
슬러시랑 오란다 맛이 미춰버립니다...,"Dessert/Bakery, Coffee/Drink",keyword
굉장히 신선한 컨셉이네요,"Dessert/Bakery, Coffee/Drink",keyword
맛도 독특하네요,"Dessert/Bakery, Coffee/Drink",keyword
흥하세요,"Dessert/Bakery, Coffee/Drink",keyword
친구 추천으로 서울와서 방문했어요!,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
커피가 부드럽고 맛있어서 한박스씩 구매했네요 ㅎㅎ,"Dessert/Bakery, Coffee/Drink",keyword
담에 오란다랑 먹어보려구요!,"Dessert/Bakery, Coffee/Drink",keyword
궁금해서 와봤는데 직원분들도 친절하시고 음료도 빨리 받을수 있어서 좋았어요!!,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
재방문 의사 있음!^^,"Service, Vibe, Coffee/Drink",keyword
다음에또올게요,"Dessert/Bakery, Coffee/Drink",keyword
신박합니다,"Dessert/Bakery, Coffee/Drink",keyword
인테리어가 맛있고 커피가 멋있어요,"Vibe, Coffee/Drink",keyword
매장 너무 쾌적하고 오란다 디저트 귀엽고 무엇보다 넘 맛있어요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
테이크아웃만 가능합니다!,"Service, Dessert/Bakery, Coffee/Drink, Price",keyword
참고하세요,"Dessert/Bakery, Coffee/Drink",keyword
떡와플 조금 딱딱해서 이가 아팠습니드 😬,"Dessert/Bakery, Coffee/Drink",keyword
믹스커피의재해석 !!,Coffee/Drink,keyword
"한국인이 언제부터 커피를 내려마셨냐,, 타마셨지!!!!",Coffee/Drink,keyword
너무너무 기대했던 뉴믹스커피!,"Dessert/Bakery, Coffee/Drink",keyword
맛있고 예쁘고 넘 조아요🤍,Vibe,keyword
우리가 흔하게 먹는 인스턴트 믹스커피!,Coffee/Drink,keyword
그 믹스커피가 새로운 스타일로 나왔나봅니다,"Vibe, Coffee/Drink",keyword
"😲
컨셉이 독특하고 생각보다 커피가 정말 맛있었습니다","Dessert/Bakery, Coffee/Drink",keyword
디저트는 오란다가 있는데 이것 또한 별미입니다만 가격이 조금 사악해요,"Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
즐길수 있었어요!,"Vibe, Coffee/Drink",keyword
믹스커피를 현대화한 점과 디저트가 한국적이어서 너무 좋았어요!!!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
음료도 너무 맛있고 디저트도 너무 맛있네요,"Dessert/Bakery, Coffee/Drink",keyword
커피 너무 맛있어요!!,Coffee/Drink,keyword
성수에 이런 곳이 생기다니 허걱 !~~,Vibe,keyword
커피 깔끔하고 맛있네요!,"Dessert/Bakery, Coffee/Drink",keyword
커피가 맛있고 힙해요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
커피가 맛잇어요,Coffee/Drink,keyword
꼭 와보고 싶었던 곳이에요!!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
나중에 또 와보겠습니당,"Dessert/Bakery, Coffee/Drink",keyword
와보고 싶었는데 친구랑 드뎌 왔음 ^^,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
힙하네요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"너무 좋아요오,,!","Dessert/Bakery, Coffee/Drink",keyword
앞에서 시음해보고 바로 들어왔어요!,"Dessert/Bakery, Coffee/Drink",keyword
"커피 가성비가 좋고, 너무 달지않게 마시기 좋아요!","Coffee/Drink, Price",keyword
믹스커피라 궁금햇는데 오리지날 평소에도 마시기 좋을거같아요!,"Dessert/Bakery, Coffee/Drink",keyword
지나가다가  시음해주셔서 들러봤어요!!,"Dessert/Bakery, Coffee/Drink",keyword
배민 창업자분들 새로 론칭하셨다고 들어는 봤는데  진짜 우리가 아는 그 익숙한 맥심맛! ㅋㅋㅋㅋㅋ,"Dessert/Bakery, Coffee/Drink",keyword
오오 믹스커피가 이렇게 맛있다니!!,Coffee/Drink,keyword
홀린듯 들어온 뉴믹스커피~ 배민 창업자였던 김봉진 대표님이 열었다는 코리안 스타일 커피!!,Coffee/Drink,keyword
흔한 메뉴를 색다르게 만든 곳!,Vibe,keyword
"아직 안 먹었지만, 군밤맛 추천해요ㅎㅎ","Dessert/Bakery, Coffee/Drink, Vibe",keyword
예뻐요,Vibe,keyword
부모님이랑 왔어요,"Dessert/Bakery, Coffee/Drink",keyword
지난번에 먹어보고 맛있어서 세가지 맛 선물용으로 구매했어요! ㅎㅎ,"Dessert/Bakery, Coffee/Drink, Price",keyword
기대 안했는데 넘 맛있었어요!,"Dessert/Bakery, Coffee/Drink",keyword
"☺️
오란다도 맛있구요","Dessert/Bakery, Coffee/Drink",keyword
배민 김봉진 대표님께서 새로 런칭히신 F&B브랜드라고 하여 와보았다!,"Dessert/Bakery, Coffee/Drink",keyword
가장 한국적인 커피가 믹스커피라는 아이디어로 만든 곳.,"Vibe, Coffee/Drink",keyword
컨셉이 맛있고 커피가 재밌어요:),Coffee/Drink,keyword
매장이 너무 멋있네여,Vibe,keyword
감각적임,Vibe,keyword
커피도 새로운 느낌,Coffee/Drink,keyword
엄청 기대하고 갔는데..,"Dessert/Bakery, Coffee/Drink",keyword
예쁘고 멋있고 mz스러워용,Vibe,keyword
한국여행 온 외국인 친구 선물로 뉴믹스커피 선물했습니다.,"Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
코리안스타일커피로 좀더 특별한 선물을 할 수 있어 기뻤습니다.,"Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
구매 후 담아갈 종이백이 없어 방수팩을 주셨는데 이 부분이 신선하면서도 아쉽게 다가왔습니다.,"Dessert/Bakery, Coffee/Drink",keyword
패키지가 고급지고 예뻐 선물하기 좋았지만 선물용으로 다량구매를 하거나 자주 선물하기엔 비싸단 생각에 고민되기도 하네요.,"Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
번창하세요!,"Dessert/Bakery, Coffee/Drink",keyword
음료가 바로 나와요!,Coffee/Drink,keyword
여러가지 메뉴가 있는데 다 맛있어요~!,"Vibe, Coffee/Drink",keyword
믹스커피같지않고 고급져용,"Dessert/Bakery, Coffee/Drink",keyword
믹스지만 커피 맛있어요!,Coffee/Drink,keyword
매장 인테리어가 너무 이뻐요 ㅎㅎ,Vibe,keyword
분위기 좋고 맛있러요!!,Vibe,keyword
추천합니다!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
테이크아웃해서 마셔보고 싶었는데 오늘 날씨가 안 좋아서 포장으로만 구매했어요!,"Service, Dessert/Bakery, Coffee/Drink, Price",keyword
매장에서 마셔볼 수가 없어서 아쉬웠지만 직원분들도 친절하셨고 인테리어나 분위기도 좋아서 다음에 재방문하고 싶어요ㅎㅎ,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
한 번 이용해보고싶었는데 힙하고 너무 세련됬습니다,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
특이하고 힙한 곳이에요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
너무 맛있고 힙하고 좋아요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
뉴믹스커피,Coffee/Drink,keyword
컨셉이 좋아서 방문했어요!,"Service, Dessert/Bakery, Coffee/Drink",keyword
매장안에서도 마시면 좋겠어요~~,Vibe,keyword
되게신기해요!!!,"Dessert/Bakery, Coffee/Drink",keyword
가격도 적당해서 성수에서 밥먹고 꼭 생각나는 커피가 될꺼같아요,"Dessert/Bakery, Coffee/Drink, Price",keyword
그동안 왜 우리는 아아랑 라떼만 먹고 있었던가!!!,"Vibe, Coffee/Drink",keyword
화려해요,"Dessert/Bakery, Coffee/Drink",keyword
"기사뜬거보고 왔는데, 진짜 고급진 믹스커피에요","Dessert/Bakery, Coffee/Drink",keyword
친구들이랑 먹어보려고 커피믹스도 따로샀어요,"Vibe, Coffee/Drink",keyword
지인에게 추천받아 왔습니다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
매장 인테리어가 매우 독특해요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"오픈전부터 기대한곳 맛잇어용 
다만 온리 테잌아웃 ㅠㅠ
담에는 녹차먹어야징!!","Dessert/Bakery, Coffee/Drink, Vibe",keyword
뉴믹스 궁금해서 와봤어욤 !!,"Dessert/Bakery, Coffee/Drink",keyword
매장 분위기 너무 좋아여!,Vibe,keyword
믹스커피의 재해석👍,Coffee/Drink,keyword
피치스 골목길 들어가다가  우연히보고  들여간  오란다튜닝~뉴믹스커피테이크아웃카페~,"Service, Dessert/Bakery, Coffee/Drink",keyword
"메뉴를 초이스하면 컵안에 도넛츠 모양
토핑돤 오란다갸  나온다.","Dessert/Bakery, Coffee/Drink",keyword
가격은 개당 3500원,"Dessert/Bakery, Price",keyword
"커피없이 주문을 해서 먹으니~~
뻑뻑 했다~","Service, Dessert/Bakery, Coffee/Drink",keyword
"다음에는 커피와 함께 주문해야
될것 같다.","Service, Dessert/Bakery, Coffee/Drink",keyword
흠~맛은 오란다에 토핑맛이 강하다.,"Dessert/Bakery, Coffee/Drink",keyword
"맛이 오묘하고~달달하니~정신번쩍~입 힐링~
변헝된 오란다~","Dessert/Bakery, Coffee/Drink",keyword
힙하고 맛나요 ㅎㅎ,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
오란다,"Dessert/Bakery, Coffee/Drink",keyword
분위기 좋고 커피 맛있어요 !!!!,"Vibe, Coffee/Drink",keyword
맛있고 너무 예뻐요!!,Vibe,keyword
유니크한 분위기에 고급스런 믹스커피맛!!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
드디어왔다!!!!!:),"Dessert/Bakery, Coffee/Drink",keyword
공간보다 맛있어서 놀랐어요!,"Dessert/Bakery, Vibe",keyword
달짝지근한 커피와 고소한 건빵이 매력적!,"Dessert/Bakery, Coffee/Drink",keyword
소문의 핫플 뉴믹스커피 다녀갑니당~~~,Coffee/Drink,keyword
"인테리어 
디자인이 좋고 맛있을 것 같아요","Dessert/Bakery, Vibe",keyword
트렌디한 믹스커피 매장이에요!!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
뉴믹스 오리지널 볶은쌀맛 너무 맛있어요ㅎㅎ,Coffee/Drink,keyword
또 방문 할게요,"Service, Dessert/Bakery, Coffee/Drink",keyword
일단 매장이 너무 예뻐요!,Vibe,keyword
작은데 매장 분위기에 홀려서 들어갔습니다.,"Dessert/Bakery, Vibe",keyword
믹스커피로 이런 느낌을 낼 수 있는게 신기했어요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
맛있어서 재방문 예정입니다:),Service,keyword
와보고 싶었어요,"Dessert/Bakery, Coffee/Drink",keyword
재밌는 공간이에여,Vibe,keyword
"최고최고 마싯소요~~~
회사가 가까워서 자주와용~~!!!","Dessert/Bakery, Coffee/Drink",keyword
힙한 매장 방문해서 음료 대기중이에요!,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
새로생긴 뉴믹스 맛있어요!,Coffee/Drink,keyword
너무 궁금해서 찾아왔는데 만족해요 !,"Dessert/Bakery, Coffee/Drink, Price",keyword
요즘 제일 힙한 카페 뉴믹스 커피!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
평일 낮에는 줄 없이 구매 가능해요.,"Service, Dessert/Bakery, Coffee/Drink, Price",keyword
익숙한 오란다와 믹스커피를 새롭게 즐길수 있는 곳!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
메뉴 특이하고 맛있습니다.,"Dessert/Bakery, Coffee/Drink",keyword
"믹스커피답게 커피메뉴는 달고, 오란다는 생각보다 달지않고 부드러워서 좋아요!","Dessert/Bakery, Coffee/Drink",keyword
성수에서 제일 핫한 카페 뉴믹스커피에 다녀왔어요,Coffee/Drink,keyword
"😆
성수역 4번출구 7분거리에 위치해있고, 매장이 성수동 골목사이에 있어 주차는 따로 안되요~
******************","Position, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"⭐️PICK⭐️ 오리지널 믹스커피
기존 믹스커피보다 훨씬 깔끔하고 부드러운 편이고, 믹스커피 특유의 텁텁함이 없어서 더 좋아요","Dessert/Bakery, Coffee/Drink",keyword
"❤️
🌰군밤맛 믹스커피
부드러운 크림에 오리지널보다 훨씬 고소하고, 시나몬과 견과류가 들어있어서 같이 씹다보면 왠지 호떡이 생각나는 맛이에요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"😍
🧇떡와플
쫀득바삭한 식감에 달달한 꿀이 뿌려져 있어서 달달한 믹스커피와 따로 먹는걸 추천드려요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"😋
🍊오란다","Dessert/Bakery, Coffee/Drink",keyword
"시중에 파는 오란다랑 다르게 덜 달고 부드러워서 믹스커피랑 찰떡😍💕
******************
믹스커피의 대혁명이 궁금하신 분들은 성수 카페 뉴믹스커피 추천드려요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
매장이 멋지고 커피도 맛있어요,"Vibe, Coffee/Drink",keyword
너무 친절하시고 패키지가 새로워요!,"Service, Dessert/Bakery, Coffee/Drink",keyword
